Boss Defense Range,Percentage
Less than or equal to 0,79.80000000000001
Less than or equal to 10,84.8
Less than or equal to 20,88.17
Less than or equal to 30,90.23
Less than or equal to 40,91.62
Less than or equal to 50,92.84
Less than or equal to 60,93.84
Less than or equal to 70,94.36
Less than or equal to 80,94.48
Less than or equal to 90,94.48
Less than or equal to 100,94.5
Less than or equal to 110,94.57
Less than or equal to 120,94.69999999999999
Less than or equal to 130,94.86
Less than or equal to 140,95.17
Less than or equal to 150,95.55
Less than or equal to 160,95.97
Less than or equal to 170,96.46000000000001
Less than or equal to 180,97.02
Less than or equal to 190,97.74000000000001
Less than or equal to 200,98.3
